INSTITUTION,JOB TITLE,SS GRADE,Level,Date,creator,wage
AFRICAN PEER REVIEW MECHANISM,Executive Secretary,24,H,11/28/2016 13:30,eben," 68,983.84 "
AFRICAN PEER REVIEW MECHANISM,Deputy Executive Secretary,24,L,11/28/2016 14:45,eben," 65,581.98 "
AFRICAN PEER REVIEW MECHANISM,Director Technical,23,L,11/29/2016 13:15,eben," 57,308.21 "
AFRICAN PEER REVIEW MECHANISM,Chief Programme Officer,21,L,11/29/2016 10:00,eben," 43,760.43 "
AFRICAN PEER REVIEW MECHANISM,Principal Programme Officer,19,L,11/29/2016 14:30,eben," 31,767.54 "
AFRICAN PEER REVIEW MECHANISM,Senior Programme Officer,18,L,11/28/2016 10:15,eben," 29,199.72 "
AFRICAN PEER REVIEW MECHANISM,Programme Officer,16,L,11/28/2016 16:00,eben," 23,852.14 "
AFRICAN PEER REVIEW MECHANISM,Director Finance and Administration,23,L,11/28/2016 9:00,eben," 57,308.21 "
AFRICAN PEER REVIEW MECHANISM,Chief Administrative Officer,21,L,11/29/2016 16:00,blaq," 43,760.43 "
AFRICAN PEER REVIEW MECHANISM,Principal Administrative Officer,19,L,11/29/2016 8:30,blaq," 31,767.54 "
AFRICAN PEER REVIEW MECHANISM,Senior Administrative Officer,18,L,12/1/2016 13:00,blaq," 29,199.72 "
AFRICAN PEER REVIEW MECHANISM,Administrative Officer,16,L,12/1/2016 11:30,blaq," 23,852.14 "
AFRICAN PEER REVIEW MECHANISM,Chief Public Affairs Officer,21,L,12/1/2016 8:45,blaq," 43,760.43 "
AFRICAN PEER REVIEW MECHANISM,Principal Public Affairs Officer,19,L,12/2/2016 13:30,blaq," 31,767.54 "
AFRICAN PEER REVIEW MECHANISM,Senior Public Affairs Officer,18,L,11/29/2016 11:45,blaq," 29,199.72 "
AFRICAN PEER REVIEW MECHANISM,Public Relations Officer,16,L,11/30/2016 10:15,blaq," 23,852.14 "
AFRICAN PEER REVIEW MECHANISM,Chief Internal Auditor,21,L,11/30/2016 11:30,blaq," 43,760.43 "
AFRICAN PEER REVIEW MECHANISM,Principal Internal Officer,19,L,11/30/2016 14:30,eben," 31,767.54 "
AFRICAN PEER REVIEW MECHANISM,Senior Internal Officer,18,L,11/30/2016 15:45,eben," 29,199.72 "
AFRICAN PEER REVIEW MECHANISM,Internal Auditor ,16,L,12/2/2016 10:15,eben," 23,852.14 "
AFRICAN PEER REVIEW MECHANISM,Chief Accountant,21,L,11/30/2016 9:00,eben," 43,760.43 "
AFRICAN PEER REVIEW MECHANISM,Principal Accountant,19,L,12/1/2016 10:00,eben," 31,767.54 "
AFRICAN PEER REVIEW MECHANISM,Senior Accountant,18,L,12/1/2016 15:15,blaq," 29,199.72 "
AFRICAN PEER REVIEW MECHANISM,Accountant,16,L,12/2/2016 15:00,blaq," 23,852.14 "
AFRICAN PEER REVIEW MECHANISM,Chief Driver,12,L,11/28/2016 13:30,blaq," 14,877.87 "
AFRICAN PEER REVIEW MECHANISM,Principal Driver,11,L,11/28/2016 14:45,blaq," 13,221.90 "
AFRICAN PEER REVIEW MECHANISM,Senior Driver,10,L,11/29/2016 13:15,blaq," 11,750.26 "
AFRICAN PEER REVIEW MECHANISM,Driver,9,L,11/29/2016 10:00,blaq," 10,442.41 "
